HUC_12,period,total_load_kg_yr,inc_load_kg_yr,inc_yield_wo_decay_kg_ha_yr,delivery_fraction,stream_attenuation_local,watershed_attenuation_total,watershed_area_km2
71300110604,2001-2005,224839.58399999997,50842.0786,5.334265937551614,0.873711602,0.99965238,0.873409742,95.34194506872184
71300110604,2016-2020,244742.46799999996,50418.7446,5.289806701934545,0.902077198,0.99967372,0.9017856419999999,95.34194506872184
71300110605,2001-2005,79181.717,79181.717,7.03755334332908,0.87321013,0.9990749259999999,0.872407488,112.60827298043868
71300110605,2016-2020,78352.0882,78352.0882,6.9636797834224735,0.901579394,0.999116814,0.900790836,112.60827298043868
71300110606,2001-2005,360748.172,56804.276,4.288581574469463,0.87401362,0.999716068,0.8737670399999999,132.48927556433165
71300110606,2016-2020,378097.24199999997,55083.746,4.158527334783978,0.902368852,0.999727046,0.902124894,132.48927556433165
71300110607,2001-2005,401586.356,40935.0836,4.06266123990237,0.874260324,0.9997016779999999,0.8740011859999999,100.78775556729408
71300110607,2016-2020,416185.76399999997,38188.156,3.7898890381080355,0.902612978,0.9997105239999999,0.9023541399999999,100.78775556729408
71300110701,2001-2005,441145.666,40605.4832,5.892503405231052,0.874519542,0.997124146,0.8720205719999999,69.10619952098828
71300110701,2016-2020,450800.924,35674.0778,5.173428121907046,0.9028718940000001,0.997191974,0.9003602560000001,69.10619952098828
71300110702,2001-2005,511198.95999999996,95403.0194,7.978034078182484,0.9043957819999999,0.96966334,0.877026374,123.24090676534092
71300110702,2016-2020,522595.77799999993,97272.7004,8.116187118815484,0.932496518,0.970864658,0.9053925680000001,123.24090676534092
71300110703,2001-2005,548898.8759999999,37758.4376,4.755218987460391,0.932638978,0.99987525,0.9325230720000001,79.41366759255806
71300110703,2016-2020,556874.4099999999,34336.6854,4.3242268794569645,0.9604505939999999,0.999874728,0.960330556,79.41366759255806
71300110704,2001-2005,549316.588,8417.48324,1.4123265669941163,0.93982726,0.99245871,0.932754962,60.039115726945944
71300110704,2016-2020,559817.288,8951.55508,1.4991061895271247,0.96596549,0.9944093799999999,0.960570666,60.039115726945944
71300110801,2001-2005,30045.706599999998,30045.706599999998,2.9267841329365503,0.892380552,0.9998889240000001,0.8922819759999999,102.66875736356683
71300110801,2016-2020,30264.278599999998,30264.278599999998,2.9479535330131816,0.9300830940000001,0.9999306000000001,0.930018714,102.66875736356683
71300110802,2001-2005,62987156.0,16947.584,2.435332192724909,0.8874484300000001,0.99434375,0.882446746,69.97152491518374
71300110802,2016-2020,86372365.2,28292.3956,4.059334912942052,0.926308332,0.9958648699999999,0.922485404,69.97152491518374
71300110803,2001-2005,50041.9796,50041.9796,6.951159418949976,0.834474446,0.9171803000000001,0.765651018,77.9884602447932
71300110803,2016-2020,78327.0462,78327.0462,10.788378580101186,0.871846386,0.9242071380000001,0.8062010479999999,77.9884602447932
71300110804,2001-2005,87216.45,37174.8296,5.94393045495824,0.9096509960000001,0.999992084,0.9096438280000001,62.54294625703386
71300110804,2016-2020,131842.7814,53516.0866,8.55673290159101,0.943218242,0.9999951599999999,0.9432136879999999,62.54294625703386
71300110805,2001-2005,60801212.8,46126.5612,3.432918364242623,0.919014694,0.989790876,0.909658132,135.68361859451431
71300110805,2016-2020,84242450.8,67993.2996,5.047229378858027,0.950315172,0.992526306,0.943222864,135.68361859451431
71300110806,2001-2005,31158.744,31158.744,4.953566421325227,0.928401568,0.9999261519999999,0.92833325,62.90604980252495
71300110806,2016-2020,30895.7048,30895.7048,4.911700463944856,0.9573910800000001,0.9999257399999999,0.9573201819999999,62.90604980252495
71300110807,2001-2005,59926744.0,31081.519,2.3631038352516875,0.9376654959999999,0.9901709320000001,0.928469904,132.79120253578623
71300110807,2016-2020,83440497.2,52770.8922,4.001953441582737,0.964400964,0.99279716,0.9574620420000001,132.79120253578623
71300110808,2001-2005,61231.965599999996,61231.965599999996,11.63460728138485,0.944395678,0.9972925119999999,0.9418440739999999,52.76766161091471
71300110808,2016-2020,78422.6572,78422.6572,14.890948471316563,0.969462798,0.998012932,0.96753824,52.76766161091471
71300110809,2001-2005,59957552.4,5190.619860000001,0.7807110435450818,0.9517065459999999,0.9949974879999999,0.946954374,66.83261781858869
71300110809,2016-2020,83480647.2,8461.07328,1.2708298757732774,0.9750120599999998,0.996283426,0.9713913200000001,66.83261781858869
71300110901,2001-2005,94186.4948,94186.4948,9.033736653782897,0.951426892,0.9986756299999999,0.9501692079999999,104.39250336183906
71300110901,2016-2020,83638.00080000001,83638.00080000001,8.023421634950285,0.972816072,0.998429454,0.97129154,104.39250336183906
71300110902,2001-2005,9758.989360000001,9758.989360000001,1.5614396129348849,0.952681432,0.9999948359999999,0.9526765279999999,62.500262700885955
71300110902,2016-2020,7469.3557,7469.3557,1.1950956007572298,0.9743405380000001,0.999996808,0.9743374499999999,62.500262700885955
71300110903,2001-2005,106437.67,3716.6826800000003,0.590883216800232,0.95843978,0.99398705,0.9526863280000001,63.29181086326857
71300110903,2016-2020,93048.52859999999,2711.41718,0.4302236423417414,0.978696924,0.9955486520000001,0.974343614,63.29181086326857
71300111001,2001-2005,50591.572,50591.572,5.081416546030643,0.952526346,0.995855774,0.948586362,99.96392017828032
71300111001,2016-2020,66373.9016,66373.9016,6.6592528465548995,0.9756748999999999,0.996961106,0.9727124359999999,99.96392017828032
71300111002,2001-2005,59761282.8,2544.9945,0.2743477881436245,0.9585750199999999,0.9978111500000001,0.9564831220000001,92.96705970396836
71300111002,2016-2020,83355750.8,2800.2879999999996,0.30157104988879474,0.979842104,0.9987783240000001,0.9786465659999999,92.96705970396836
71300111003,2001-2005,60854816.0,842.54517,0.1275568351374112,0.96244853,0.998148796,0.960671716,66.17302170367496
71300111003,2016-2020,84853394.0,913.6013419999999,0.1382022779759521,0.9820541219999999,0.9989653539999999,0.9810392059999999,66.17302170367496
71300111004,2001-2005,60553236.8,8728.519,0.7968865322124462,0.967706096,0.9963979439999999,0.964228782,109.93041550945134
71300111004,2016-2020,84630566.4,9262.3287,0.8442467934820164,0.9850532080000001,0.9979849120000001,0.9830701940000001,109.93041550945134
71300111005,2001-2005,11637.53838,11637.53838,1.0571554889414774,0.9695420419999999,0.998292478,0.967890358,110.2724918135987
71300111005,2016-2020,13461.497599999999,13461.497599999999,1.2218177805190837,0.9861008339999999,0.99904726,0.985162214,110.2724918135987
71300111006,2001-2005,60203238.0,1941.7828000000002,0.2093631880345678,0.9742738479999999,0.9968351959999999,0.971196696,93.04606785402792
71300111006,2016-2020,84361742.8,1833.76282,0.19742031042964495,0.9887868000000001,0.998232472,0.987040432,93.04606785402792
71300120101,2001-2005,64153.7166,64153.7166,11.698527666678388,0.714299166,0.95217191,0.6803758240000001,57.48303762322395
71300120101,2016-2020,77302.513,77302.513,14.06924493623588,0.740354642,0.953623024,0.706401308,57.48303762322395
71300120102,2001-2005,66140.3818,66140.3818,9.488400921013474,0.740034646,0.9866166059999999,0.7302623500000001,70.58200254974756
71300120102,2016-2020,81492.20360000001,81492.20360000001,11.679343886835474,0.7661472500000001,0.9870218740000001,0.756444806,70.58200254974756
71300120103,2001-2005,222582.158,93958.5572,7.657056680647065,0.749948356,0.986125894,0.739673858,124.27221368297197
71300120103,2016-2020,310805.042,153833.548,12.519702143305313,0.7759981380000001,0.9869941900000001,0.766136366,124.27221368297197
71300120104,2001-2005,295368.178,73308.22660000001,8.046478345932297,0.760376692,0.997433962,0.758448542,91.32269228953729
71300120104,2016-2020,423938.69800000003,113781.43399999998,12.485602947238485,0.78601288,0.997613028,0.784175728,91.32269228953729
71300120105,2001-2005,307045.516,35976.823599999996,4.3948222052339885,0.797105022,0.956127738,0.762310108,85.38972556229263
71300120105,2016-2020,441847.85199999996,50442.1978,6.149129588394738,0.821489418,0.9587393280000001,0.787855232,85.38972556229263
71300120106,2001-2005,15346.298999999999,15346.298999999999,2.464907456455066,0.816548208,0.979468118,0.799946778,63.454467465055224
71300120106,2016-2020,22289.486599999997,22289.486599999997,3.5730857898202473,0.840862506,0.981358892,0.825452364,63.454467465055224
71300120107,2001-2005,42735.6452,42735.6452,5.47814210086556,0.8316815099999999,0.9977736800000001,0.829845768,78.16709207531174
71300120107,2016-2020,70881.5062,70881.5062,9.08421563534501,0.8549272059999999,0.9979975879999999,0.85323919,78.16709207531174
71300120108,2001-2005,25756.836000000003,25756.836000000003,3.322938670688938,0.8195903440000001,0.983145672,0.8059102960000001,78.69164011558068
71300120108,2016-2020,33789.7298,33789.7298,4.353570436412449,0.8439541479999999,0.98501412,0.8315111500000001,78.69164011558068
71300120109,2001-2005,429649.02800000005,41383.0244,3.14722170802193,0.83352165,0.992596078,0.8274019280000001,132.4044019326192
71300120109,2016-2020,624261.87,58841.0372,4.470901415356666,0.8566191599999999,0.993356176,0.851005006,132.4044019326192
71300120201,2001-2005,26737.7694,26737.7694,3.272379162222596,0.823639272,0.980924122,0.8080874,83.169875038303
71300120201,2016-2020,49131.8446,49131.8446,5.985400047441952,0.848959124,0.9845013619999999,0.836033544,83.169875038303
71300120202,2001-2005,25224.8036,25224.8036,5.455986080654162,0.729145954,0.867536648,0.634456348,52.7419868280709
71300120202,2016-2020,40423.0352,40423.0352,8.492179133487191,0.76899173,0.890578888,0.68797488,52.7419868280709
71300120203,2001-2005,28236.2962,28236.2962,3.7697252753626413,0.8365135800000001,0.996386594,0.833517588,75.14947199242461
71300120203,2016-2020,47183.246,47183.246,6.2955694758266745,0.859539632,0.9969444080000001,0.8569522380000001,75.14947199242461
71300120204,2001-2005,23577.6698,23577.6698,3.3037511185697293,0.8390803520000001,0.99947005,0.8386395199999999,71.40032573098964
71300120204,2016-2020,36403.64,36403.64,5.100663285096643,0.861735668,0.999527874,0.8613346780000001,71.40032573098964
71300120205,2001-2005,134282.37480000002,30584.142,2.4565331398869272,0.839521438,0.9991662480000001,0.838827534,124.59521877815511
71300120205,2016-2020,222166.8972,49137.6304,3.946298379839648,0.862136864,0.999249986,0.861499544,124.59521877815511
71300120206,2001-2005,31424.1516,31424.1516,3.936507581999895,0.840128004,0.99989448,0.8400400339999999,79.83504856869557
71300120206,2016-2020,50292.4466,50292.4466,6.3000986285767855,0.862691284,0.99990199,0.86260779,79.83504856869557
71300120207,2001-2005,214247.82799999998,48569.8988,3.9678308734556014,0.84021598,0.9998089200000001,0.840056742,122.43012353420457
71300120207,2016-2020,335462.56999999995,63046.4544,5.150407202062755,0.862774788,0.99982153,0.8626228659999999,122.43012353420457
