HUC_12,waterid,Year,observed_load_kg_yr,predicted_load_kg_yr,observed_yield_kg_km2_yr,predicted_yield_kg_km2_yr,demiarea,demtarea
70200011009,7020001100920,2020,182459.59796751407,275808.16,4872.425580302527,7365.218103130087,37.4473852828318,1191.6251812541311
70200030705,7020003070501,2001,1230486.2755100338,369802.5,19346.48410773662,5814.26898588186,63.60257856971359,2487.468078315961
70200030705,7020003070502,2002,101481.29897011055,232852.6,1595.5532189450275,3661.055970313761,63.60257856971359,2487.468078315961
70200030705,7020003070503,2003,56167.417420694335,140452.14,883.0996900405584,2208.2774497271844,63.60257856971359,2487.468078315961
70200030705,7020003070504,2004,58826.235349992094,299121.78,924.9033085272441,4702.98196592986,63.60257856971359,2487.468078315961
70200030705,7020003070505,2005,321975.4774681614,263405.7,5062.302263661371,4141.431148287265,63.60257856971359,2487.468078315961
70200030705,7020003070506,2006,403083.5049256346,244412.14,6337.534011829762,3842.8023752544004,63.60257856971359,2487.468078315961
70200030705,7020003070507,2007,530559.759715082,382943.84,8341.796380685186,6020.88545168436,63.60257856971359,2487.468078315961
70200030705,7020003070508,2008,535836.0906777513,291250.38,8424.754195939264,4579.222832620943,63.60257856971359,2487.468078315961
70200030705,7020003070509,2009,522643.6669946621,381087.7,8217.33456013583,5991.702043688322,63.60257856971359,2487.468078315961
70200030705,7020003070510,2010,1132859.6871982738,811250.94,17811.537089751284,12755.000791529277,63.60257856971359,2487.468078315961
70200030705,7020003070511,2011,1979603.5112897228,636713.06,31124.57947156838,10010.805761626643,63.60257856971359,2487.468078315961
70200030705,7020003070512,2012,71458.89549949998,175823.03,1123.5219877316015,2764.400971688336,63.60257856971359,2487.468078315961
70200030705,7020003070513,2013,395389.6851634814,575541.7,6216.566907426594,9049.030918914073,63.60257856971359,2487.468078315961
70200030705,7020003070514,2014,596724.4351085967,723676.44,9382.079288727866,11378.099068841868,63.60257856971359,2487.468078315961
70200030705,7020003070515,2015,428377.43660957424,382478.12,6735.221216542939,6013.563107048763,63.60257856971359,2487.468078315961
70200030705,7020003070516,2016,1001815.707544728,495887.34,15751.180692252226,7796.65465066746,63.60257856971359,2487.468078315961
70200030705,7020003070517,2017,1309352.6530680968,597452.75,20586.471217246955,9393.530316465758,63.60257856971359,2487.468078315961
70200030705,7020003070518,2018,987067.0722947232,1069292.0,15519.293313129083,16812.085673978912,63.60257856971359,2487.468078315961
70200030705,7020003070519,2019,2218789.2108298754,2186694.0,34885.208441634204,34380.587221054346,63.60257856971359,2487.468078315961
70200030705,7020003070520,2020,585439.3853580405,448829.1,9204.648593238266,7056.775214043356,63.60257856971359,2487.468078315961
