HUC_12,period,N_surplus_kgN_ha_yr,Manure_surplus_kgN_ha_yr,Fertilizer_surplus_kgN_ha_yr,Fix_surplus_kgN_ha_yr,ndep_surplus_kgN_ha_yr,Human_kgN_ha_yr,Total_Uptake_kgN_ha_yr
71200011403,2001-2005,47.86285393379567,3.5375468650287174,65.49019179450681,47.69593121809189,14.650206904116143,1.9104403380763402,85.42146318602425
71200011403,2016-2020,64.88904330528081,4.630852893666241,85.40953472748484,58.46647455328654,12.43611486419113,2.324326876096841,98.37826060944481
71200011404,2001-2005,56.400475796610706,4.674245569226552,86.30436112497821,63.2820955634278,14.650000461264337,0.8499999670525472,113.36022688933875
71200011404,2016-2020,75.86136120424257,5.792210826796558,106.81693195955634,73.30547613022942,12.436000034265351,0.8600000131789811,123.34925775978408
71200011405,2001-2005,49.28590138753255,3.8104140111019738,70.6195253767047,51.58714569627193,14.65,1.0293193188048246,92.41050301535088
71200011405,2016-2020,67.37955161646792,4.907289610745614,90.8178934304756,62.10602658991229,12.435999691611842,1.6165788617050438,104.50423656798246
71200011406,2001-2005,53.73886721629017,2.161471701568028,44.05331979427698,29.302792876621464,14.65,15.915885954083137,52.344603110259435
71200011406,2016-2020,73.83381341898216,4.498981346274322,84.4149825761903,56.93852907576651,12.435998938218603,11.354339023806014,95.80901754127356
71200011501,2001-2005,51.2648691968548,3.959177335028643,55.263036162648724,48.32828382050529,15.144500725249708,3.9732550400264395,75.403383886604
71200011501,2016-2020,65.65155131141671,4.078815593786722,75.16093560654744,69.46292964159812,12.812939625257053,5.4153466050969445,101.27941576086957
71200011502,2001-2005,56.44450704768453,4.411184345043366,73.8165804509484,57.549904899573946,14.838387049223979,4.334820129431679,98.50636982653683
71200011502,2016-2020,68.80901968103319,4.57828132132532,84.85416444765671,65.32676886792453,12.579600364234633,4.9355082404519175,103.46530356055993
71200011503,2001-2005,51.58959521580937,3.9494342761206327,60.36097253586952,49.71673275791035,15.022083444915953,3.6536045263060317,81.11323232531312
71200011503,2016-2020,64.19769947753588,4.048627469409196,75.75665687958346,63.44155199406724,12.719624850650955,4.310626055743243,96.07938777191825
71200011504,2001-2005,54.37668298279709,4.5164748499076355,79.74027093596058,60.151537099753696,14.733546798029556,0.8873871661407019,105.65253386699507
71200011504,2016-2020,71.29780916260968,5.313361491687192,97.83725584133506,70.70608836206895,12.499685287099755,0.889980372536946,115.94856219211822
71200011601,2001-2005,54.4625226963066,4.454562798231661,82.23249555576346,60.30793062312874,14.65000014619199,0.8499998903560068,108.03246631736526
71200011601,2016-2020,71.4028596341253,5.372631762841505,99.15292423271133,67.99533822979042,12.435999777788172,0.8600000621315962,114.41403443113772
71200011602,2001-2005,55.04658872028487,4.520263734609207,83.32872724578007,61.073809555674515,14.649643836991435,0.8492085870583512,109.3750642398287
71200011602,2016-2020,71.32499899625272,5.3574548313704495,98.92100010873932,67.81888383297644,12.435924618576015,0.8591606581236617,114.0674250535332
71200011603,2001-2005,54.82207908710634,5.455836137743879,83.84920758427603,68.72130355776588,14.600989936997896,0.7088844678743067,118.51414259755165
71200011603,2016-2020,70.80423336014458,6.595902023957537,101.49878367253997,81.17681952945676,12.362045267071538,0.7131369604622944,131.54245409334354
71200011604,2001-2005,48.392527745389046,3.9452161451906465,63.01719539600911,50.72760673741362,14.910552755583662,0.9491707413005923,85.15721403010859
71200011604,2016-2020,61.5315538261391,4.311046531805282,79.22322272614218,63.274922877591315,12.634609355719398,0.9370582332027395,98.84930589832183
71200011701,2001-2005,50.729738708372125,4.349474758801625,64.03266016418415,54.43618927725119,15.034672134182463,0.9991103495789607,88.12236797562628
71200011701,2016-2020,67.70570584906059,4.774242287999323,87.52475936362771,75.78739103757617,12.729220508738152,0.977637082398866,114.08754443127961
71200011702,2001-2005,48.61070907236776,4.144126326176589,55.233009089180655,50.18763136061947,15.171685737002212,1.2847465533550382,77.41048999396621
71200011702,2016-2020,61.407567180900536,3.9801207072103777,73.69526174703337,69.15953087288817,12.833662337213394,1.680824531438556,99.94183301488336
71200011703,2001-2005,47.553345270403746,3.8328632389185726,51.27349379491834,46.33550195665263,15.18000004703492,2.1726333204771224,71.24114708759784
71200011703,2016-2020,59.41363559931896,3.818157771579621,70.41143542340834,66.74362959060807,12.839999200406382,1.797260392365292,96.19684677904877
71200011801,2001-2005,54.27181670372946,4.497369491844847,77.00800626821686,59.18746402138159,14.796447218510144,1.2003442596970944,102.41781455592107
71200011801,2016-2020,72.53879910519251,5.3358005456757125,98.19454462821025,73.62355400219299,12.547631139922562,1.3918038083795916,118.55453501918859
71200011802,2001-2005,57.53895453208035,4.130789156365527,77.33034859761293,55.93526527841959,14.649999909744684,5.673238396776802,100.18068680683919
71200011802,2016-2020,76.17552837717335,5.430272173925601,100.43086436160611,68.72482382162661,12.435999595656194,4.795082980735906,115.64151455637707
71200011803,2001-2005,58.95318140341035,2.787088553787123,56.256334843195916,37.802940769060285,14.650000346298759,15.092118586546984,67.63530169547872
71200011803,2016-2020,72.8541762331699,3.712845952460106,70.68041156741745,46.9893007535461,12.436000439799423,18.10331477171986,79.06769725177305
71200011804,2001-2005,50.97626710279307,4.157373235765233,71.11575864334402,54.74182407519343,14.817099004926257,0.9340619380515595,94.78984979448742
71200011804,2016-2020,65.63395701543045,4.751017551680368,87.47945938553063,65.1347739361702,12.563372483982107,0.9274081261522304,105.22207446808511
71200011805,2001-2005,52.43484100027423,2.942107504590328,53.57197083055132,39.00929928939336,14.753128502360742,10.235010045068675,68.0766751716902
71200011805,2016-2020,59.758614018981305,3.1713455473817245,59.92447002575352,42.843079335177414,12.51461073123331,11.028653781953452,69.72354540251811
71200011806,2001-2005,38.89953004295127,1.9319820668606682,28.376304158801737,23.37382375559284,15.179999912611857,5.974301877971197,35.93688172888702
71200011806,2016-2020,40.508806594746225,1.6609619686800894,32.670101676104586,29.03458735318792,12.839999355512443,6.150380793833893,41.84722455257271
71200011807,2001-2005,49.07172147429516,4.1203759094812,54.36788548313011,49.79714784436008,15.18000024008044,2.1717584903741867,76.56544649313088
71200011807,2016-2020,63.619770942075625,4.0488142144567965,74.83503546835458,70.77563494215474,12.839999166779643,3.128430678890998,102.0081435285611
71200011808,2001-2005,43.78657879759934,3.449695390107616,46.64793628414735,41.691580608443715,15.180000129346027,0.9201271471440396,64.1027607615894
71200011808,2016-2020,50.856050225062084,3.159496714610927,58.37213236625621,55.22985099337749,12.839999417942881,0.8567416765831954,79.60217094370861
71200011809,2001-2005,35.550198528195224,2.1669420730969136,31.236496223891077,26.18876024987087,15.180000343007489,1.0444462421511815,40.26644660382231
71200011809,2016-2020,42.54070886028698,2.2168594738668643,43.57170581659995,38.75199832128099,12.839998910446798,1.012975141036609,55.85282880294422
71200020101,2001-2005,49.94457735893943,12.563052556818182,48.100082613511525,34.73442471590909,14.976603604403408,0.4469309137517755,60.87651704545455
71200020101,2016-2020,62.941891792990944,22.890227982954546,57.023175906094636,36.085667613636375,12.4881015625,0.5080454323508523,66.05332670454547
71200020102,2001-2005,69.90653415679932,21.085240299170614,74.79390473912677,53.88149511255924,14.915999796356635,0.6979999560315462,95.4681057464455
71200020102,2016-2020,91.71935383150367,38.62731783175356,86.3456045604543,54.38938240521327,12.466000398030214,0.8000000578532287,100.90895142180094
71200020103,2001-2005,73.91819260177613,22.644177812499997,80.32299184982301,57.8656175,14.91600046875,0.697999970703125,102.528595
71200020103,2016-2020,97.4525703955078,41.46474,92.65855600097656,58.38462,12.465999296875,0.80000009765625,108.321345
71200020201,2001-2005,69.39206837291906,19.683519292318636,78.55261268669986,64.59577758268136,14.903982791385136,0.666426731071635,109.01025071123755
71200020201,2016-2020,99.86024589701363,34.340601662517784,100.92904338809538,67.57065033783783,12.43322618465505,0.7236131041351795,116.13688878022761
71200020202,2001-2005,71.52940044050123,21.307313159233903,78.56902178941525,59.35663050518135,14.91127781504441,0.6862975306196799,103.30114035899335
71200020202,2016-2020,98.87955491004566,39.193558590858615,96.24648677619805,62.074130273871205,12.453119795521838,0.7716876749282938,111.85942820133235
71200020203,2001-2005,73.30862253370137,22.14090481857064,80.3927806635303,59.54634726821191,14.913377828366446,0.6921831884657836,104.37697123344371
71200020203,2016-2020,98.83361330011294,40.27558119481236,95.4138286396894,60.96447985651214,12.458847106529387,0.7859272062120585,111.06505070364237
71200020204,2001-2005,59.86730499739987,8.871793468621002,81.9243032795972,75.40431340299277,14.83174815773349,0.53798144077738,121.70283475232198
71200020204,2016-2020,84.75177146195139,17.578898187564498,105.62895342154646,89.31464299535604,12.554140111019738,0.5643137330487293,140.8891769865841
71200020205,2001-2005,73.96516382930044,22.107428927099686,81.86156235265209,60.152349882260594,14.91018369186617,0.6888869640404238,105.75524798861852
71200020205,2016-2020,99.45205935922858,41.23476501177394,96.71377148830348,62.51028748037677,12.472083956779828,0.786577736751251,114.26542631475668
71200020206,2001-2005,72.53262848355878,21.94297045048197,77.90874187412547,56.07298857276119,14.916000199199317,1.042716410622668,99.35078902363185
71200020206,2016-2020,94.68611783079842,40.08175528606965,89.60955457165467,56.43730371579602,12.465998802374845,0.8000000910972481,104.70849463619402
71200020301,2001-2005,72.43363917151162,22.019944040697673,78.23183186091933,56.27145058139536,14.915999909156977,0.6979999886446221,99.70358720930233
71200020301,2016-2020,95.80267826807781,40.64203706395349,90.84057760265262,57.22621802325582,12.465999591206394,0.8000000567768895,106.17215406976743
71200020302,2001-2005,75.56081149811135,23.269652769619363,82.57421792754553,59.46504713933272,14.916000113809918,0.6979999857737605,105.36210643796991
71200020302,2016-2020,101.95267509804634,43.68801398026316,97.61292939437064,61.51511836231204,12.465999746681156,0.8000000688366423,114.1293864544173
71200020303,2001-2005,71.41204896681212,21.674744241949913,76.8838026608039,55.39238316189625,14.916000076867173,0.6880107081213663,98.14289188282648
71200020303,2016-2020,95.8114089392592,40.673060152057246,90.86710560479615,57.26989532088551,12.466000164216236,0.7885509620625559,106.25320326475848
71200020304,2001-2005,77.92784773665358,24.185444655373832,85.81534016559766,61.80413392098556,14.915999943580076,0.7127170715072749,109.50578802039081
71200020304,2016-2020,105.76365800078074,45.59165648895497,101.81285232634693,64.19555543755311,12.465999196845795,0.8000000311139284,119.10240548003398
71200020305,2001-2005,73.3553758908275,20.27934194711538,73.7307334466124,51.859692464464885,14.916000274352006,4.423743941393186,91.85413618311036
71200020305,2016-2020,94.94409354729795,38.141296509197325,85.5004830912204,53.705035012541806,12.46600011104724,4.7705686435252925,99.63928982023411
71200020401,2001-2005,63.29344861562377,17.24406030957944,71.36914626457238,55.64176255841121,14.828681731892525,0.7235925330996885,96.51379478193147
71200020401,2016-2020,83.0528088569047,28.50202978971962,86.26284204786069,61.65184579439252,12.482578733450156,0.7637383481795171,106.61022585669782
71200020402,2001-2005,66.82375486936863,18.549502254267622,76.91888078193833,60.239102939151984,14.826211883948238,0.7226079461858136,104.43255093612333
71200020402,2016-2020,86.91019499522476,29.84430926486784,91.45736645938015,65.69619269686123,12.48304830542745,0.7648457934677864,113.33556752477973
71200020403,2001-2005,68.92435968447403,18.254006602112675,81.66817342237016,65.09292341549296,14.8306161971831,0.6960326529489437,111.61739260563381
71200020403,2016-2020,91.95599419048469,30.850336267605634,99.17271690175231,72.53990845070423,12.493813930457746,0.7374422315140845,123.83822359154931
71200020404,2001-2005,63.85015043345364,16.094610318270597,78.31924729347229,65.37810003107245,14.758358417857778,0.7399999445134943,111.44016557173295
71200020404,2016-2020,82.40998795032499,22.21187411221591,95.25016725496812,74.92291259765625,12.497354264692827,0.7399999445134943,123.2123202237216
71200020405,2001-2005,64.78670746650363,17.13916066873178,76.86393301827567,62.249322157434406,14.785914950801748,0.7332163214057944,106.98483965014577
71200020405,2016-2020,82.19422388193557,25.06016854956268,90.24424839564733,68.01224034256559,12.49069999316691,0.7496909450163994,114.36282434402332
71200020501,2001-2005,63.32762486530173,16.100664331896553,77.24758943965517,64.41783890086207,14.757999865301723,0.74,109.9364676724138
71200020501,2016-2020,81.2556035913928,22.017953125,93.39361921639278,73.25124245689655,12.495999999999999,0.74,120.64321120689655
71200020502,2001-2005,62.498983261229895,15.181556189562002,79.08278583617746,67.07433518202502,14.728334755403868,0.6719225921457267,114.23995129408418
71200020502,2016-2020,80.07967903128525,20.15385158916382,95.41191289856164,77.47129017349262,12.484525039551338,0.6684413384794511,126.11034200796362
71200020503,2001-2005,60.49483097311444,15.145826699496444,72.69133775177724,60.586906657286725,14.7579999444609,0.7399999971073385,103.42724007701422
71200020503,2016-2020,75.05363479180357,20.007928206457347,84.87523725970661,66.5641254443128,12.495999912063093,0.7399999971073385,109.62965602784361
71200020504,2001-2005,58.69436232525368,8.176546047044837,84.11363684612772,80.17667289402173,14.775271938158118,0.570027144058891,129.1177925441576
71200020504,2016-2020,80.72846939667409,12.288722826086957,106.73809077636056,94.27280910326085,12.561385312287705,0.5586956687595533,145.69123429008152
71200020505,2001-2005,59.9774713349744,12.831159821257657,75.81077881794063,65.74451928598775,14.763274221142803,0.6929095561800105,109.86517036753446
71200020505,2016-2020,79.69344537802165,18.598362425823126,95.489984787478,78.0598511676876,12.515966871650075,0.6897701713246555,125.66049004594178
71200020506,2001-2005,57.681961788406014,9.36419714861751,82.1941873270905,76.41571860599079,14.712223142281108,0.5258285367763537,125.53019297235024
71200020506,2016-2020,76.60954913442583,12.453561887960829,101.43997015887142,90.21526353686636,12.511975896457374,0.5132534607214861,140.52447580645162
71200020507,2001-2005,46.57331961264678,6.942904308808553,65.66697002340966,59.96732433808554,14.560680630250763,0.41524237421039645,100.97980206211813
71200020507,2016-2020,61.1767399012921,7.080953252291242,86.17763251869839,82.3276237907332,12.419677784098141,0.3986354602572874,127.22778290478614
71200020508,2001-2005,52.24084506852519,8.168614375530561,79.80594360144313,74.09049899193549,14.55067920004775,0.3945738295343007,124.76946492996603
71200020508,2016-2020,65.78456338257455,7.328465221774193,95.51485876267957,91.90658425297113,12.415809618394524,0.3769100428841919,141.75806451612905
71200020601,2001-2005,53.40463205439655,8.27658440552641,82.87486161371388,77.07035998552821,14.545999626899421,0.387999993640331,129.7511735709117
71200020601,2016-2020,67.76335633384161,7.2820205092257595,99.83372367715353,96.4777722503618,12.413999609940303,0.3700000194323218,148.61415973227207
71200020602,2001-2005,53.22493045757979,8.17838203625801,82.49973918279012,77.61072716346153,14.540369591346154,0.38578459910857366,129.9900721153846
