waterid,HUC_12,Year,feature_Precipitation_mm,feature_Tile_Drainage_pct,feature_Clay_Soil_pct,feature_Air_Temperature_degC,feature_CRP_pct,feature_No_Till_pct,feature_Cover_Crop_pct,feature_Forest_pct,feature_Wetlands_pct,SHAP_Precipitation_mm,SHAP_Tile_Drainage_pct,SHAP_Clay_Soil_pct,SHAP_Air_Temperature_degC,SHAP_CRP_pct,SHAP_No_Till_pct,SHAP_Cover_Crop_pct,SHAP_Forest_pct,SHAP_Wetlands_pct
7110005040308,71100050403,2008,618.2681,-22.657,15.366664,1.8134552,4.459925,28.210604,0.2898791,17.311163,4.135551,0.13498423993587494,-0.10478581488132477,-0.07111693173646927,-0.03963010013103485,-0.007977084256708622,0.026717137545347214,0.00233786110766232,-0.06905899941921234,-0.031054828315973282
7040002010816,70400020108,2016,253.52643,8.461557,3.3768387,-0.114492215,0.9504017,-26.789396,1.5637279,10.789722,12.471238,0.048058830201625824,-0.01442743930965662,-0.0014173979870975018,0.011157617904245853,0.00043137077591381967,-0.04396812990307808,-0.00044875129242427647,-0.02399528957903385,-0.19125033915042877
7140104010802,71401040108,2002,285.0052,-22.993013,5.5111694,4.158173,-2.5028982,-26.789396,0.0,50.81521,0.06868204,0.03770909830927849,-0.08669416606426239,-0.010363713838160038,-0.07457936555147171,0.02036248706281185,-0.023603146895766258,0.0023247897624969482,-0.26127567887306213,0.028854208067059517
7070001080513,70700010805,2013,-18.544535,-22.993746,-19.71805,-5.335658,-2.7008178,-26.789396,0.0,45.486965,31.523706,-0.007525491528213024,-0.0744226723909378,0.10825518518686295,0.09836185723543167,0.02508566342294216,-0.018662123009562492,0.002284676069393754,-0.19854333996772766,-0.26501378417015076
7060006040601,70600060406,2001,-2.1543865,15.61929,-0.6970114,0.3182168,1.6500341,26.335604,1.4067861,11.988562,2.4605412,-0.013214925304055214,0.009252007119357586,0.025821492075920105,0.0006526338402181864,0.00012230189167894423,0.03124305233359337,-0.0002962848520837724,-0.03241053968667984,0.0064077903516590595
7010105060308,70101050603,2008,-258.41858,-22.993746,-19.332438,-4.8889785,-2.6647818,-26.789396,0.0,47.29322,23.92158,-0.0404839850962162,-0.07617393136024475,0.10967805236577988,0.09207487106323242,0.02586965076625347,-0.02028135024011135,0.0022610381711274385,-0.2100532352924347,-0.19941525161266327
7080102080510,70801020805,2010,256.70853,38.17585,-0.8895482,-0.4035348,-0.83471453,36.936092,2.138797,2.565503,3.160784,0.06311262398958206,0.08804392069578171,0.027027707546949387,0.022668711841106415,0.00804941076785326,0.04858874902129173,-0.0023769568651914597,0.03792622685432434,-0.005442907102406025
7130011080316,71300110803,2016,-128.43501,-0.96471596,6.870503,4.318169,1.0730841,40.77817,2.4776742,10.671194,0.15117621,-0.043677326291799545,-0.04375612735748291,-0.02457047440111637,-0.1074448972940445,0.00044492949382402003,0.048937488347291946,-0.0023637760896235704,-0.02256564050912857,0.05086861178278923
7070001040116,70700010401,2016,14.295169,-22.982777,-19.31492,-3.0133586,-2.7008178,-26.789396,0.0,23.27136,54.573757,-0.003494198899716139,-0.07510487735271454,0.10814721137285233,0.0576961375772953,0.02682294137775898,-0.01985657587647438,0.0022716077510267496,-0.08199780434370041,-0.46054884791374207
7090002140820,70900021408,2020,22.608639,-20.551273,-2.8931074,0.7309592,-0.8817057,32.469864,2.5474572,5.2602396,2.3857522,-0.005489340052008629,-0.10611725598573685,0.038222651928663254,-0.011284568347036839,0.0075901770032942295,0.03627106919884682,-0.003125262213870883,0.015658287331461906,0.005459078121930361
