site_no,watershed_label,watershed_area_miles2,watershed_area_km2,SPARROW_static_inc_load_2001_2005_kg_yr,dPL_inc_load_2016_2020_kg_yr,SPARROW_static_inc_yield_2001_2005_kg_km2_yr,dPL_inc_yield_2016_2020_kg_km2_yr,WRTDS_inc_load_2001_2005_kg_yr,WRTDS_inc_load_2016_2020_kg_yr,mean_discharge_2001_2005_m3_s,mean_discharge_2016_2020_m3_s,residual_yield_2001_2005_kg_ha_yr,residual_yield_2016_2020_kg_ha_yr
USGS-05317000,S1_5,1300.0,3366.9869999999996,2879336.9622770897,8809535.128564477,8.55167234764224,26.16444651721102,3567570.8839816106,8621939.049179023,13.161672418565939,38.93348237647249,2.0440646836608547,-0.5571630641444528
USGS-05319500,S1_6_1,851.0,2204.08149,2556017.689704942,8833156.801333074,11.596747676080442,40.07636215543498,3020295.0840802467,7243422.114700569,10.250992102540467,28.60261790051543,2.1064438700735364,-7.212685619135183
USGS-05320000,S1_6,1559.0,4037.7944099999995,7618634.131776825,13438200.857895326,18.868306204269636,33.28104280053062,8482960.429879718,15853847.19552545,35.195294307347794,77.96596265978614,2.1405901597226022,5.982588741139312
USGS-05327000,S1_7,238.0,616.4176199999999,1030141.3740484025,1938665.84292673,16.711744450919536,31.45052607235222,829350.0256226836,2331661.1266199253,2.71525616209242,9.233603691397002,-3.2573914487668114,6.375471286709737
USGS-05338500,S1_8,974.0,2522.65026,213705.6686593254,264584.2896715594,0.847147430810823,1.048834608058429,118156.00547885147,155310.7202431294,21.383642144084796,29.651604266709786,-0.37876698445100326,-0.43316971504575513
USGS-05353800,S1_9,435.0,1126.64565,1871062.7973839226,4009006.894916574,16.607376040407406,35.583565204521705,2040295.2581793435,3104685.3236093903,8.982914333567244,17.321010143054302,1.502091281277489,-8.026672550567996
USGS-05388250,S1_10,770.0,1994.2922999999998,1679383.1709487676,4185529.643218936,8.420947977128368,20.98754351716113,2396349.4580242243,7101667.454373034,13.922180309022892,35.94026920253073,3.5950912866456775,14.622419246938366
USGS-05389400,S1_11,34.13,88.3963587,62355.09701248542,134940.0267511304,7.054034569920065,15.265337705718236,101849.83032053005,228628.45544138626,0.490761739096495,1.126597070287537,4.467914050858367,10.598675111518576
USGS-05412500,S1_12,1545.0,4001.53455,5156500.846278289,11714847.390704498,12.886308444539832,29.27588714860527,4916799.4782700185,15383915.166386921,27.47095927270724,69.1373559193257,-0.5990236120996904,9.169151808729039
USGS-05435500,S1_13_1_1_1_1,1326.88,3436.6059312,1415538.555351266,3149771.1941269063,4.119001665276722,9.165354588755726,4728558.214888432,9541722.86053647,26.62893541010674,53.93025544335901,9.640382766785018,18.599606106649563
USGS-05437500,S1_13_1_1_1,5036.12,13043.500438799998,6316162.71620532,15513022.550178753,4.842383182214549,11.893297066202232,11309189.071433168,14804198.46724076,131.162569134643,237.19626298715775,3.8279803635957146,-0.5434308729192675
USGS-05440000,S1_13_1_1_2,1099.0,2846.3990099999996,3254903.529595638,6581642.16379084,11.435162526969957,23.122696925723144,3122898.807455645,6001530.853827678,19.526469670973935,43.562726171149315,-0.46376042738995066,-2.0380533717342817
USGS-05440700,S1_13_1_1,528.0,1367.51472,7594468.925476415,6286599.832312219,55.534823972325626,45.970984738739915,1822387.0971134342,5860925.262197226,153.77777749084214,301.4134174354847,-42.20855354568309,-3.1127604250943097
USGS-05443500,S1_13_1,763.0,1976.1623699999998,2621517.4122879803,7439833.217954963,13.265698467317646,37.64788425737995,2490751.6637495905,4539720.750857659,168.45336702318437,334.52894485812413,-0.6617156086136273,-14.675476626433815
USGS-05446500,S1_13,796.0,2061.63204,-649061.2374815829,-843407.4539121464,-3.148288467041786,-4.090969860519563,1804461.8674885817,9960970.118936472,186.89154939482296,369.06620329435435,11.900877835455859,52.40691531379488
